time,blank,calibration 250uM,calibration 5uM,sample1,sample2,sample3
0.0,0.1396,2.1995,0.1806,0.327,0.4501,0.5611
1.0,0.1402,2.2068,0.1804,0.3918,0.5568,0.6581
2.0,0.1407,2.219,0.1806,0.4464,0.6504,0.7404
3.0,0.1411,2.2205,0.181,0.495,0.7297,0.8123
4.0,0.1413,2.2236,0.1813,0.5397,0.8013,0.8766
5.0,0.1421,2.2293,0.1816,0.5818,0.8649,0.9356
6.0,0.1424,2.2277,0.1819,0.6219,0.9231,0.9899
7.0,0.1428,2.2246,0.1819,0.6604,0.9768,1.041
8.0,0.1431,2.2243,0.1822,0.6968,1.0267,1.0887
9.0,0.1437,2.2222,0.1824,0.7312,1.0724,1.1333
10.0,0.1437,2.2212,0.1823,0.764,1.1154,1.1749
11.0,0.1446,2.2231,0.1829,0.7964,1.1549,1.2139
12.0,0.1449,2.2231,0.1827,0.827,1.1915,1.25
13.0,0.1454,2.217,0.1833,0.8575,1.2264,1.2843
14.0,0.1459,2.2196,0.1834,0.8868,1.2634,1.3159
15.0,0.1462,2.2145,0.1834,0.9142,1.2881,1.3448
16.0,0.1467,2.214,0.1836,0.9414,1.3168,1.3728
17.0,0.1472,2.2058,0.1839,0.9673,1.3417,1.3976
18.0,0.1474,2.204,0.1844,0.9928,1.3661,1.4208
19.0,0.1478,2.2003,0.1848,1.0171,1.3882,1.4419
20.0,0.1484,2.2039,0.185,1.0404,1.4091,1.4615
21.0,0.1485,2.1967,0.1856,1.0635,1.4348,1.4801
22.0,0.1488,2.2,0.186,1.0851,1.4458,1.496
23.0,0.1493,2.1909,0.1852,1.106,1.4621,1.5118
24.0,0.1499,2.1883,0.1853,1.1264,1.4761,1.5263
25.0,0.1502,2.1854,0.1866,1.1464,1.489,1.5397
26.0,0.1506,2.1819,0.1864,1.1654,1.5011,1.5519
27.0,0.1514,2.1839,0.1854,1.1838,1.5121,1.5631
28.0,0.1514,2.1785,0.1874,1.2027,1.5219,1.5729
29.0,0.1518,2.1766,0.1867,1.2214,1.5332,1.5836
30.0,0.152,2.1752,0.1879,1.2418,1.5418,1.5923
31.0,0.1531,2.1749,0.1866,1.2643,1.5497,1.5999
32.0,0.1534,2.1752,0.1868,1.2902,1.5576,1.608
33.0,0.1538,2.1751,0.1871,1.3171,1.5642,1.616
34.0,0.1543,2.173,0.1875,1.3415,1.5708,1.6218
35.0,0.1549,2.1719,0.1875,1.3635,1.577,1.628
36.0,0.1553,2.1655,0.1883,1.3828,1.5826,1.6343
37.0,0.1558,2.1676,0.1883,1.4006,1.5883,1.6396
38.0,0.1562,2.17,0.1887,1.4164,1.5927,1.6441
39.0,0.1567,2.1653,0.189,1.4319,1.5979,1.6496
40.0,0.1574,2.1603,0.1897,1.4447,1.6013,1.6535
41.0,0.1577,2.1649,0.1897,1.4578,1.605,1.658
42.0,0.1578,2.1609,0.1912,1.4702,1.609,1.6614
43.0,0.1583,2.166,0.192,1.4816,1.6129,1.666
44.0,0.1597,2.1648,0.1921,1.4933,1.6163,1.67
45.0,0.1603,2.1616,0.193,1.5025,1.6191,1.6732
46.0,0.1609,2.1635,0.194,1.5127,1.6226,1.6764
47.0,0.1613,2.1639,0.1947,1.5202,1.6241,1.6789
48.0,0.1615,2.1643,0.1941,1.5285,1.6266,1.6814
49.0,0.1616,2.1637,0.1955,1.5373,1.6297,1.6836
50.0,0.1619,2.1619,0.1957,1.5438,1.6313,1.686
51.0,0.1624,2.1635,0.1969,1.5474,1.6395,1.6881
52.0,0.1628,2.167,0.1974,1.5554,1.6376,1.6919
53.0,0.1634,2.168,0.197,1.5618,1.6389,1.6937
54.0,0.1646,2.1662,0.1978,1.5693,1.6416,1.6974
55.0,0.1663,2.1665,0.1961,1.5733,1.6426,1.6981
56.0,0.1671,2.1656,0.2004,1.5767,1.6454,1.7007
57.0,0.1676,2.1667,0.1974,1.583,1.6473,1.7019
58.0,0.1681,2.1659,0.2003,1.5845,1.6483,1.7041
59.0,0.1666,2.1684,0.2021,1.5887,1.6489,1.7045
60.0,0.1671,2.1687,0.2034,1.5979,1.6501,1.7056
